연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","영화금속","012280","STK","1385","1500","1375","1.686464","0.685506",,,"0.002789577","246050.0304","26.315789","11762812","619095","17579799020","925252580"
"2017/12","디아이씨","092200","STK","8020","8690","7910","1.399146","0.832768",,,"0.003645862","100107.2756","5.263158","856581","45083","6987938570","367786241"
"2017/12","현대건설기계","267270","STK","169000","190000","160500","2.141075","-0.643417",,,"0.000232307","29970.6716","5.263158","896128","47165","158029752500","8317355395"
"2017/12","한화우","000885","STK","21300","23200","21300","1.922508","0.614589",,,"0.041223584","2199.4709","5.263158","38824","2043","860073950","45267050"
"2017/12","JW중외제약2우B","001067","STK","42450","47600","42450","1.415077","0.258038",,,"0.0437788","1960.6734","10.526316","40334","2123","1884059800","99161042"
"2017/12","대한항공우","003495","STK","14450","14550","14100","1.019767","-0.616765",,,"0.02455611","4225.3521","15.789474","91304","4805","1318388350","69388861"
"2017/12","녹십자홀딩스2우","005257","STK","26900","26900","25800","0.953551","-0.122898",,,"0.018576884","2370.8751","15.789474","35465","1867","930161300","48955858"
"2017/12","현대차2우B","005387","STK","102000","106500","101500","1.556187","-0.594067",,,"0.000180467","80080.1917","5.263158","1411603","74295","146908895523","7732047133"
"2017/12","삼영전자","005680","STK","13050","13400","12600","1.25506","2.384861",,,"0.002352206","28888.9416","31.578947","582755","30671","7630682600","401614874"
"2017/12","화천기계","010660","STK","21700","22650","21300","0.703878","0.2967",,,"0.017619697","4473.5139","10.526316","38526","2028","845652250","44508013"
"2017/12","한농화성","011500","STK","4175","4665","4110","1.891473","0.168738",,,"0.007521999","58231.8938","5.263158","938369","49388","4163201410","219115864"
"2017/12","환인제약","016580","STK","22250","24000","21100","2.09184","-0.788617",,,"0.001358582","46457.1067","15.789474","1221546","64292","27154976600","1429209295"
"2017/12","일진다이아","081000","STK","20500","20500","17350","3.740342","-0.514778",,,"0.001002248","75753.8077","0","3352199","176432","63219654000","3327350211"
"2017/12","메타랩스","090370","STK","3460","3805","2405","7.387947","0.284341",,,"0.004322164","103696.3283","0","12248952","644682","39394232355","2073380650"
"2017/12","서연이화","200880","STK","10050","11400","10050","1.593498","-0.874989",,,"0.002814603","35641.2346","21.052632","1118471","58867","11685379440","615019971"
"2017/12","DL우","000215","STK","33100","34350","32750","0.931027","0.062332",,,"0.002529166","27902.9454","10.526316","184832","9728","6230187000","327904579"
"2017/12","화천기공","000850","STK","55600","59100","55500","1.746832","-0.53798",,,"0.013775092","3100.3996","5.263158","44381","2336","2534200900","133378995"
"2017/12","보락","002760","STK","1080","1205","1045","2.689477","-0.409118",,,"0.00238237","1658631.5636","5.263158","44464670","2340246","53349633855","2807875466"
"2017/12","HLB글로벌","003580","STK","4275","4330","3850","2.620336","1.410383",,,"0.01437032","34973.5051","0","893678","47036","3732823715","196464406"
"2017/12","보령","003850","STK","48000","48000","40850","2.65571","1.602018",,,"0.000861271","42089.6121","0","1115638","58718","49285824450","2593990761"
"2017/12","코스모신소재","005070","STK","15450","15450","13000","4.068215","1.691803",,,"0.000447517","381585.2328","5.263158","9724381","511810","138271627650","7277454087"
"2017/12","현대차3우B","005389","STK","86100","91100","86100","0.823068","-0.0002",,,"0.001308902","15654.4477","10.526316","110194","5800","9704061600","510740084"
"2017/12","GS리테일","007070","STK","40300","43500","37850","3.143413","-0.858375",,,"0.00022285","178992.7198","0","6084185","320220","248120686672","13058983509"
"2017/12","KH 필룩스","033180","STK","3195","3195","2680","2.322162","-1.223119",,,"0.002174126","241815.4689","0","6750600","355295","19658358320","1034650438"
"2017/12","삼양홀딩스","000070","STK","122000","122000","102500","2.118946","1.26218",,,"0.000722671","11849.7174","15.789474","376285","19804","41792631000","2199612158"
"2017/12","현대차","005380","STK","156000","162000","150000","1.706045","3.567771",,,"0.000015858","536521.9132","10.526316","8856335","466123","1369062152440","72055902760"
"2017/12","카프로","006380","STK","7580","8100","7370","2.183298","-0.875256",,,"0.000497896","701112.0809","0","9781736","514828","76628958030","4033103054"
"2017/12","한국조선해양","009540","STK","100500","153000","96900","7.275618","11.356849",,,"0.000104008","99578.1112","0","5693198","299642","669812264140","35253277060"
"2017/12","LS ELECTRIC","010120","STK","65100","65700","59300","2.816062","2.239211",,,"0.000404906","81496.6024","0","1328260","69908","83423464300","4390708647"
"2017/12","코웨이","021240","STK","97700","110500","95700","3.24584","0.225793",,,"0.00013404","74315.5178","15.789474","3462682","182246","358630665830","18875298202"
"2017/12","삼성출판사","068290","STK","11950","12200","10800","2.887598","-1.069261",,,"0.003698687","31565.6298","5.263158","1494279","78646","17189844600","904728663"
"2017/12","GS우","078935","STK","40900","42000","40700","0.909389","2.570617",,,"0.003622167","11207.4661","10.526316","82635","4349","3404541700","179186405"
"2017/12","CJ CGV","079160","STK","74200","75600","71400","1.505916","-0.552988",,,"0.000154296","144431.2205","5.263158","2070305","108963","152833968300","8043893068"
"2017/12","하나금융지주","086790","STK","49800","51400","45650","1.928613","-0.25422",,,"0.000042085","790718.3131","0","15237587","801978","738781447961","38883234103"
"2017/12","진도","088790","STK","5350","5600","5170","1.457088","1.209359",,,"0.008808881","38870.2825","15.789474","577421","30391","3106173890","163482836"
"2017/12","SK이노베이션","096770","STK","204500","208500","197000","1.683369","-0.069804",,,"0.000031008","282198.4748","5.263158","3896788","205094","793179138003","41746270421"
"2017/12","KB금융","105560","STK","63400","63800","58300","1.720371","0.319748",,,"0.000021917","1424773.3537","0","19215153","1011324","1174564227246","61819169855"
"2017/12","KR모터스","000040","STK","325","372","325","1.761996","1.83205",,,"0.00647735","218942.1795","36.842105","7181258","512947","2512443714","179460265"
"2017/12","대한제분","001130","STK","166500","172500","163500","0.931222","-0.089041",,,"0.00233834","2622.5089","26.315789","37643","1981","6292043500","331160184"
"2017/12","유진투자증권","001200","STK","3495","3700","3295","2.421489","1.269507",,,"0.000978549","950802.9327","5.263158","10025160","527640","34885056675","1836055614"
"2017/12","현대차증권","001500","STK","10900","11650","10900","1.578486","-0.147164",,,"0.002886661","47041.8236","10.526316","923988","48631","10496145100","552428689"
"2017/12","부광약품","003000","STK","23600","25750","23150","1.786129","-0.465472",,,"0.000367659","159432.5471","5.263158","3819792","201042","94365472250","4966603803"
"2017/12","코오롱글로벌우","003075","STK","17800","23550","17600","1.93136","-1.12459",,,"0.013094657","8551.1622","10.526316","147731","7775","2980266200","156856116"
