종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"095570","AJ네트웍스","34255","46822295","223343.0","3.05281363E8","0.07"
"006840","AK홀딩스","0","13247561","0.0","2.11960976E8","0.00"
"027410","BGF","40367","95716791","163890.0","3.88610171E8","0.04"
"282330","BGF리테일","20416","17283906","3776960.0","3.19752261E9","0.12"
"138930","BNK금융지주","1377338","325935246","9021564.0","2.134875861E9","0.42"
"001460","BYC","0","624615","0.0","2.50782923E8","0.00"
"001465","BYC우","0","215385","0.0","3.360006E7","0.00"
"001040","CJ","275021","29176998","2.1231621E7","2.252464246E9","0.94"
"079160","CJ CGV","570668","40869397","1.2440562E7","8.90952855E8","1.40"
"00104K","CJ4우(전환)","2212","4226512","155282.0","2.96701142E8","0.05"
"000120","CJ대한통운","71328","22812344","8416704.0","2.691856592E9","0.31"
"011150","CJ씨푸드","50360","35930773","152087.0","1.08510934E8","0.14"
"011155","CJ씨푸드1우","0","200000","0.0","5730000.0","0.00"
"001045","CJ우","0","2260223","0.0","1.09394793E8","0.00"
"097950","CJ제일제당","48675","15054186","1.9129275E7","5.916295098E9","0.32"
"097955","CJ제일제당 우","1602","1327433","263529.0","2.18362729E8","0.12"
"000590","CS홀딩스","0","1154482","0.0","6.6844508E7","0.00"
"012030","DB","355463","201173933","281527.0","1.59329755E8","0.18"
"016610","DB금융투자","0","42446389","0.0","2.10109626E8","0.00"
"005830","DB손해보험","118546","70800000","6768977.0","4.04268E9","0.17"
"000990","DB하이텍","230587","44398588","1.1033588E7","2.124472436E9","0.52"
"000995","DB하이텍1우","0","112316","0.0","1.0782336E7","0.00"
"139130","DGB금융지주","353462","169145833","2735796.0","1.309188747E9","0.21"
"001530","DI동일","6890","25568270","111963.0","4.15484388E8","0.03"
"000210","DL","412862","20955884","2.6712171E7","1.355845695E9","1.97"
"001880","DL건설","0","22053284","0.0","4.52092322E8","0.00"
"000215","DL우","0","1686115","0.0","6.4746816E7","0.00"
"375500","DL이앤씨","301820","38693623","1.162007E7","1.489704486E9","0.78"
"37550L","DL이앤씨2우(전환)","0","2111951","0.0","7.1278346E7","0.00"
"37550K","DL이앤씨우","0","2113885","0.0","5.9505863E7","0.00"
"007340","DN오토모티브","2753","9994005","145358.0","5.27683464E8","0.03"
"004840","DRB동일","0","19930000","0.0","8.70941E7","0.00"
"155660","DSR","28051","16000000","145865.0","8.32E7","0.18"
"069730","DSR제강","39300","14400000","184121.0","6.7464E7","0.27"
"017940","E1","7087","6860000","321395.0","3.11101E8","0.10"
"365550","ESR켄달스퀘어리츠","40385","213089000","226156.0","1.1932984E9","0.02"
"383220","F&F","15167","38307075","2017211.0","5.094840975E9","0.04"
"007700","F&F홀딩스","9632","39114367","174339.0","7.07970043E8","0.02"
"114090","GKL","1940923","61855670","2.6590645E7","8.47422679E8","3.14"
"078930","GS","163653","92915378","6292458.0","3.572596284E9","0.18"
"006360","GS건설","99975","85581490","2889278.0","2.473305061E9","0.12"
"001250","GS글로벌","102850","82533764","313693.0","2.5172798E8","0.12"
"007070","GS리테일","569513","104717922","1.4551057E7","2.675542907E9","0.54"
"078935","GS우","0","1784826","0.0","6.0862567E7","0.00"
"012630","HDC","61792","59741721","397940.0","3.84736683E8","0.10"
"039570","HDC랩스","14674","25957601","124876.0","2.20899185E8","0.06"
"089470","HDC현대EP","28453","31900000","107552.0","1.20582E8","0.09"
"294870","HDC현대산업개발","1773517","65907330","1.9952066E7","7.41457463E8","2.69"
"267250","HD현대","142846","78993085","7385138.0","4.083942495E9","0.18"
"097230","HJ중공업","21962","83274281","148463.0","5.6293414E8","0.03"
"003580","HLB글로벌","23924","42165837","222972.0","3.92985601E8","0.06"
"011200","HMM","35346655","489039496","8.43017722E8","1.166359198E10","7.23"
"082740","HSD엔진","128664","46721246","1121950.0","4.07409265E8","0.28"
"003560","IHQ","0","154830850","0.0","1.08226764E8","0.00"
"175330","JB금융지주","334984","196982894","2361637.0","1.388729403E9","0.17"
"234080","JW생명과학","15513","15834554","203996.0","2.08224385E8","0.10"
"001060","JW중외제약","22195","22178081","523802.0","5.23402712E8","0.10"
"001067","JW중외제약2우B","0","102927","0.0","7348988.0","0.00"
"001065","JW중외제약우","0","182735","0.0","6368315.0","0.00"
"096760","JW홀딩스","113703","70444706","371809.0","2.30354189E8","0.16"
"105560","KB금융","2177490","412352494","9.9402419E7","1.8823891351E10","0.53"
"002380","KCC","119285","8886471","3.4055868E7","2.537087471E9","1.34"
"344820","KCC글라스","0","15970512","0.0","7.12284835E8","0.00"
"009070","KCTC","34030","30000000","145648.0","1.284E8","0.11"
"009440","KC그린홀딩스","0","22434980","0.0","1.13072299E8","0.00"
"119650","KC코트렐","0","17600000","0.0","7.1808E7","0.00"
"092220","KEC","869384","144748141","2103909.0","3.50290501E8","0.60"
"016380","KG스틸","383233","100008897","4828736.0","1.260112102E9","0.38"
"016385","KG스틸우","0","53385","0.0","4217415.0","0.00"
"001390","KG케미칼","4857","13866096","119725.0","3.41799266E8","0.04"
"033180","KH 필룩스","332765","153240581","502475.0","2.31393277E8","0.22"
"001940","KISCO홀딩스","0","16176380","0.0","2.23234044E8","0.00"
"025000","KPX케미칼","0","4840000","0.0","2.31836E8","0.00"
"092230","KPX홀딩스","0","4224646","0.0","2.48409185E8","0.00"
"000040","KR모터스","0","96137631","0.0","5.9413056E7","0.00"
"044450","KSS해운","21805","23085880","213471.0","2.26010765E8","0.09"
"030200","KT","1688951","261111808","6.1815607E7","9.556692173E9","0.65"
"033780","KT&G","173292","137292497","1.3880689E7","1.099712901E10","0.13"
"058850","KTcs","110809","42685000","219402.0","8.45163E7","0.26"
"058860","KTis","0","34802000","0.0","8.961515E7","0.00"
"093050","LF","0","29240000","0.0","4.6784E8","0.00"
"003550","LG","231728","157300993","1.8028438E7","1.2238017255E10","0.15"
"034220","LG디스플레이","12750742","357815700","1.9572389E8","5.492470995E9","3.56"
"051900","LG생활건강","295016","15618197","2.0208596E8","1.0698464945E10","1.89"
"051905","LG생활건강우","466","2099697","149819.0","6.75052586E8","0.02"
"373220","LG에너지솔루션","2409947","234000000","8.92885364E8","8.6697E10","1.03"
